ticker,period,oldest_date,newest_date,shares,eps,sps
CVS,Q1 2009,2009-01-01,2009-03-30,-3500000.0,-210.97142857142856,-6683.971428571429
CVS,Q2 2009,2009-04-01,2009-06-30,1456900000.0,0.6084837669023269,17.071247168645755
CVS,Q3 2009,2009-07-01,2009-09-30,1429400000.0,0.7144955925563173,17.239331187911013
CVS,Q4 2009,2009-10-01,2009-12-31,-11400000.0,-92.08771929824562,-2265.09649122807
CVS,Q1 2010,2010-01-01,2010-03-31,1386000000.0,0.5562770562770563,17.142857142857142
CVS,Q2 2010,2010-04-01,2010-06-30,1359000000.0,0.6041206769683591,17.665194996320825
CVS,Q3 2010,2010-07-01,2010-09-30,1360000000.0,0.5948529411764706,17.55514705882353
CVS,Q1 2011,2011-01-01,2011-03-31,1362000000.0,0.5234948604992657,18.865638766519822
CVS,Q2 2011,2011-04-01,2011-06-30,1355000000.0,0.6022140221402214,19.493726937269372
CVS,Q3 2011,2011-07-01,2011-09-30,1332000000.0,0.6516516516516516,20.025525525525527
CVS,Q4 2011,2011-10-01,2011-12-31,-12000000.0,-88.66666666666667,-2359.75
CVS,Q1 2012,2012-01-01,2012-03-31,1299000000.0,0.5973826020015397,23.709006928406467
CVS,Q2 2012,2012-04-01,2012-06-30,1278000000.0,0.755868544600939,24.03286384976526
CVS,Q3 2012,2012-07-01,2012-09-30,1265000000.0,0.7952569169960474,23.89486166007905
CVS,Q4 2012,2012-10-01,2012-12-31,-10000000.0,-112.9,-3139.4
CVS,Q1 2013,2013-01-01,2013-03-31,1232000000.0,0.7743506493506493,24.960227272727273
CVS,Q2 2013,2013-04-01,2013-06-30,1227000000.0,0.9160554197229014,25.466992665036674
CVS,Q3 2013,2013-07-01,2013-09-30,1218000000.0,1.0254515599343186,26.216748768472907
CVS,Q4 2013,2013-10-01,2013-12-31,-9000000.0,-140.55555555555554,-3647.777777777778
CVS,Q1 2014,2014-01-01,2014-03-31,1180000000.0,0.9567796610169491,27.702542372881357
CVS,Q2 2014,2014-04-01,2014-06-30,1165000000.0,1.069527896995708,29.70128755364807
CVS,Q3 2014,2014-07-01,2014-09-30,1157000000.0,0.8193604148660328,30.268798617113223
CVS,Q4 2014,2014-10-01,2014-12-31,-6000000.0,-220.16666666666666,-6175.833333333333
CVS,Q1 2015,2015-01-01,2015-03-31,1128000000.0,1.0824468085106382,32.209219858156025
CVS,Q2 2015,2015-04-01,2015-06-30,1124000000.0,1.1316725978647686,33.06850533807829
CVS,Q3 2015,2015-07-01,2015-09-30,1114000000.0,1.118491921005386,34.689407540394974
CVS,Q4 2015,2015-10-01,2015-12-31,-4000000.0,-374.5,-10286.25
CVS,Q1 2016,2016-01-01,2016-03-31,1092000000.0,1.0494505494505495,39.574175824175825
CVS,Q2 2016,2016-04-01,2016-06-30,1070000000.0,0.8635514018691589,40.86448598130841
