ticker,period,oldest_date,newest_date,shares,eps,sps
NVDA,Q1 2011,2010-01-31,2010-04-29,0,0,0
NVDA,Q2 2011,2010-04-30,2010-07-29,0,0,0
NVDA,Q3 2011,2010-07-30,2010-10-29,0,0,0
NVDA,Q4 2011,2010-10-30,2011-01-30,0,0,0
NVDA,Q1 2012,2011-01-31,2011-05-01,594802,227.3344743292726,1617.4104996284477
NVDA,Q2 2012,2011-05-02,2011-07-31,601340,252.05873549073735,1690.419729271294
NVDA,Q3 2012,2011-08-01,2011-10-30,607063000.0,0.2936647431979877,1.7562921805479828
NVDA,Q4 2012,2011-10-31,2012-01-29,3083000.0,37.63379824845929,309.17742458644176
NVDA,Q1 2013,2012-01-30,2012-04-29,615780000.0,0.09814706551040957,1.5019601156257105
NVDA,Q2 2013,2012-04-30,2012-07-29,618996000.0,0.19232111354516024,1.6870383653529264
NVDA,Q3 2013,2012-07-30,2012-10-28,622352000.0,0.3359513587166105,1.9347732472941357
NVDA,Q4 2013,2012-10-29,2013-01-27,281000,619.1209964412811,3939.153024911032
NVDA,Q1 2014,2013-01-28,2013-04-28,616872000.0,0.12626768600293092,1.5477100597854985
NVDA,Q2 2014,2013-04-29,2013-07-28,585345000.0,0.16477120330745115,1.6695077262127462
NVDA,Q3 2014,2013-07-29,2013-10-27,580870000.0,0.20440718232995334,1.8144627885757572
NVDA,Q4 2014,2013-10-28,2014-01-26,-6470000.0,-22.70741885625966,-176.8497681607419
NVDA,Q1 2015,2014-01-27,2014-04-27,559092000.0,0.24417448291157806,1.9724607041417155
NVDA,Q2 2015,2014-04-28,2014-07-27,558223000.0,0.2292560500015227,1.9755975658473406
NVDA,Q3 2015,2014-07-28,2014-10-26,547789000.0,0.31575478879641616,2.2369598513296176
NVDA,Q4 2015,2014-10-27,2015-01-25,-2716000.0,-71.10751104565537,-460.4248895434462
NVDA,Q1 2016,2015-01-26,2015-04-26,549000000.0,0.24408014571949,2.096539162112933
NVDA,Q2 2016,2015-04-27,2015-07-26,541000000.0,0.04805914972273567,2.1312384473197783
NVDA,Q3 2016,2015-07-27,2015-10-25,542000000.0,0.45571955719557194,2.407749077490775
NVDA,Q4 2016,2015-10-26,2016-01-31,-1000000.0,-207.0,-1401.0
NVDA,Q1 2017,2016-02-01,2016-05-01,537000000.0,0.38733705772811916,2.430167597765363
NVDA,Q2 2017,2016-05-02,2016-07-31,534000000.0,0.4887640449438202,2.6741573033707864
NVDA,Q3 2017,2016-08-01,2016-10-30,538000000.0,1.0074349442379182,3.724907063197026
NVDA,Q4 2017,2016-10-31,2017-01-29,5000000.0,131.0,434.6
NVDA,Q1 2018,2017-01-30,2017-04-30,592000000.0,0.856418918918919,3.2719594594594597
NVDA,Q2 2018,2017-05-01,2017-07-30,597000000.0,0.9765494137353434,3.7353433835845897
NVDA,Q3 2018,2017-07-31,2017-10-29,603000000.0,1.3897180762852404,4.371475953565506
NVDA,Q4 2018,2017-10-30,2018-01-28,2000000.0,559.0,1455.5
NVDA,Q1 2019,2018-01-29,2018-04-29,606000000.0,2.052805280528053,5.292079207920792
NVDA,Q2 2019,2018-04-30,2018-07-29,607000000.0,1.813838550247117,5.14497528830313
NVDA,Q3 2019,2018-07-30,2018-10-28,609000000.0,2.019704433497537,5.223316912972085
NVDA,Q4 2019,2018-10-29,2019-01-27,0,0,0
NVDA,Q1 2020,2019-01-28,2019-04-28,607000000.0,0.6490939044481054,3.657331136738056
NVDA,Q2 2020,2019-04-29,2019-07-28,609000000.0,0.9064039408866995,4.234811165845649
NVDA,Q3 2020,2019-07-29,2019-10-27,610000000.0,1.4737704918032788,4.940983606557377
NVDA,Q4 2020,2019-10-28,2020-01-26,0,0,0
NVDA,Q1 2021,2020-01-27,2020-04-26,614000000.0,1.493485342019544,5.01628664495114
NVDA,Q2 2021,2020-04-27,2020-07-26,616000000.0,1.0097402597402598,6.275974025974026
NVDA,Q3 2021,2020-07-27,2020-10-25,618000000.0,2.161812297734628,7.647249190938512
NVDA,Q4 2021,2020-10-26,2021-01-31,1000000.0,1457.0,5003.0
NVDA,Q1 2022,2021-02-01,2021-05-02,621000000.0,3.07890499194847,9.115942028985508
NVDA,Q2 2022,2021-05-03,2021-08-01,2493000000.0,0.9522663457681508,2.6101083032490973
NVDA,Q3 2022,2021-08-02,2021-10-31,2499000000.0,0.9859943977591037,2.8423369347739094
NVDA,Q4 2022,2021-11-01,2022-01-30,3000000.0,1001.0,2547.6666666666665
NVDA,Q1 2023,2022-01-31,2022-05-01,2506000000.0,0.6456504389465283,3.3072625698324023
NVDA,Q2 2023,2022-05-02,2022-07-31,2495000000.0,0.2629258517034068,2.6869739478957917
NVDA,Q3 2023,2022-08-01,2022-10-30,2483000000.0,0.2738622633910592,2.3886427708417237
NVDA,Q4 2023,2022-10-31,2023-01-29,-8000000.0,-176.75,-756.375
NVDA,Q1 2024,2023-01-30,2023-04-30,2470000000.0,0.8271255060728745,2.911740890688259
NVDA,Q2 2024,2023-05-01,2023-07-30,2473000000.0,2.502224019409624,5.461787302871007
NVDA,Q3 2024,2023-07-31,2023-10-29,2468000000.0,3.745137763371151,7.341977309562399
NVDA,Q4 2024,2023-10-30,2024-01-28,-1000000.0,-12285.0,-22103.0
NVDA,Q1 2025,2024-01-29,2024-04-28,2462000000.0,6.044272948822096,10.578391551584078
NVDA,Q2 2025,2024-04-29,2024-07-28,24578000000.0,0.6753600781186427,1.2222312637317927
