ticker,period,oldest_date,newest_date,shares,eps,sps
WBA,Q2 2015,2014-12-01,2015-02-28,0,0,0
WBA,Q3 2015,2015-03-01,2015-05-31,0,0,0
WBA,Q1 2016,2015-09-01,2015-11-30,0,0,0
WBA,Q2 2016,2015-12-01,2016-02-29,0,0,0
WBA,Q3 2016,2016-03-01,2016-05-31,0,0,0
WBA,Q4 2016,2016-06-01,2016-08-31,0,0,0
WBA,Q1 2017,2016-09-01,2016-11-30,1082100000.0,0.974031974863691,26.33860086868127
WBA,Q2 2017,2016-12-01,2017-02-28,1079700000.0,0.9817541909789756,27.272390478836712
WBA,Q3 2017,2017-03-01,2017-05-31,1077100000.0,1.0788227648314919,27.96212050877356
WBA,Q4 2017,2017-06-01,2017-08-31,-6100000.0,-131.47540983606558,-4942.459016393443
WBA,Q1 2018,2017-09-01,2017-11-30,1006100000.0,0.8160222641884505,30.55362290030812
WBA,Q2 2018,2017-12-01,2018-02-28,991000000.0,1.3612512613521695,33.32088799192734
WBA,Q3 2018,2018-03-01,2018-05-31,992100000.0,1.3526862211470618,34.607398447737125
WBA,Q4 2018,2018-06-01,2018-08-31,-5400000.0,-280.0,-6192.962962962963
WBA,Q1 2019,2018-09-01,2018-11-30,948200000.0,1.1843492933980173,35.63910567390846
WBA,Q2 2019,2018-12-01,2019-02-28,928400000.0,1.2451529513140887,37.19086600603188
WBA,Q3 2019,2019-03-01,2019-05-31,909900000.0,1.1264974172986042,38.01626552368392
WBA,Q4 2019,2019-06-01,2019-08-31,-7300000.0,-92.73972602739725,-4651.232876712329
WBA,Q1 2020,2019-09-01,2019-11-30,891400000.0,0.9479470495849226,38.522548799641015
WBA,Q2 2020,2019-12-01,2020-02-29,884500000.0,1.0695308083663086,40.497456189937814
WBA,Q3 2020,2020-03-01,2020-05-31,875400000.0,-1.9511080648846242,39.56020105094814
WBA,Q4 2020,2020-06-01,2020-08-31,-4300000.0,-86.74418604651163,-8080.46511627907
WBA,Q1 2021,2020-09-01,2020-11-30,865300000.0,-0.3559459147116607,36.33190800878308
WBA,Q2 2021,2020-12-01,2021-02-28,864200000.0,1.1872251793566304,37.92987734320759
WBA,Q3 2021,2021-03-01,2021-05-31,864700000.0,1.3842951312593963,39.354689487683586
WBA,Q4 2021,2021-06-01,2021-08-31,100000,6270.0,342620.0
WBA,Q1 2022,2021-09-01,2021-11-30,865800000.0,4.134904134904135,39.15569415569416
WBA,Q2 2022,2021-12-01,2022-02-28,863500000.0,1.022582513028373,39.09206716850029
WBA,Q3 2022,2022-03-01,2022-05-31,864000000.0,0.33449074074074076,37.72800925925926
WBA,Q4 2022,2022-06-01,2022-08-31,0,0,0
WBA,Q1 2023,2022-09-01,2022-11-30,863600000.0,-4.308707735062529,38.6544696618805
WBA,Q2 2023,2022-12-01,2023-02-28,862600000.0,0.8149779735682819,40.41502434500348
WBA,Q3 2023,2023-03-01,2023-05-31,863100000.0,0.1367164870814506,41.03232533889468
WBA,Q4 2023,2023-06-01,2023-08-31,100000,-1800.0,354220.0
WBA,Q1 2024,2023-09-01,2023-11-30,863000000.0,-0.0776361529548088,42.53418308227115
WBA,Q2 2024,2023-12-01,2024-02-29,862500000.0,-6.849855072463768,42.95884057971014
WBA,Q3 2024,2024-03-01,2024-05-31,863100000.0,0.39856331827134744,42.11678832116788
WBA,Q4 2024,2024-06-01,2024-08-31,200000,-15025.0,187735.0
